Fecha,Temporada,Equipo,Puntos
5,21/22,Granada,3
5,21/22,Espanyol,3
5,21/22,Celta Vigo,1
5,21/22,Alavés,0
5,21/22,Getafe,0
6,21/22,Real Madrid,16
6,21/22,Atlético Madrid,14
6,21/22,Real Sociedad,13
6,21/22,Sevilla,12
6,21/22,Rayo Vallecano,10
6,21/22,Villarreal,10
6,21/22,Valencia,10
6,21/22,Barcelona,10
6,21/22,Athletic Club,9
6,21/22,Betis,9
6,21/22,Osasuna,8
6,21/22,Mallorca,8
6,21/22,Elche,6
6,21/22,Cádiz,6
6,21/22,Espanyol,6
6,21/22,Celta Vigo,4
6,21/22,Levante,4
6,21/22,Granada,3
6,21/22,Alavés,0
6,21/22,Getafe,0
7,21/22,Real Madrid,17
7,21/22,Real Sociedad,16
7,21/22,Sevilla,15
7,21/22,Atlético Madrid,14
7,21/22,Barcelona,13
7,21/22,Rayo Vallecano,13
7,21/22,Betis,12
7,21/22,Villarreal,11
7,21/22,Osasuna,11
7,21/22,Valencia,11
7,21/22,Athletic Club,10
7,21/22,Mallorca,8
7,21/22,Celta Vigo,7
7,21/22,Elche,6
7,21/22,Cádiz,6
7,21/22,Espanyol,6
7,21/22,Levante,4
7,21/22,Granada,3
7,21/22,Alavés,3
7,21/22,Getafe,0
8,21/22,Real Madrid,17
8,21/22,Atlético Madrid,17
8,21/22,Real Sociedad,17
8,21/22,Sevilla,15
8,21/22,Osasuna,14
8,21/22,Villarreal,14
8,21/22,Athletic Club,13
8,21/22,Rayo Vallecano,13
8,21/22,Barcelona,13
8,21/22,Valencia,12
8,21/22,Betis,12
8,21/22,Mallorca,11
8,21/22,Espanyol,9
8,21/22,Elche,9
8,21/22,Cádiz,7
8,21/22,Celta Vigo,7
8,21/22,Granada,6
8,21/22,Levante,4
8,21/22,Alavés,3
8,21/22,Getafe,1
9,21/22,Real Madrid,20
9,21/22,Real Sociedad,20
9,21/22,Sevilla,18
9,21/22,Osasuna,17
9,21/22,Atlético Madrid,17
9,21/22,Rayo Vallecano,16
9,21/22,Barcelona,16
9,21/22,Betis,15
9,21/22,Villarreal,14
9,21/22,Athletic Club,13
9,21/22,Espanyol,12
9,21/22,Valencia,12
9,21/22,Mallorca,11
9,21/22,Elche,9
9,21/22,Granada,9
9,21/22,Cádiz,7
9,21/22,Celta Vigo,7
9,21/22,Levante,5
9,21/22,Alavés,3
9,21/22,Getafe,2
10,21/22,Real Madrid,23
10,21/22,Sevilla,21
10,21/22,Real Sociedad,21
10,21/22,Atlético Madrid,18
10,21/22,Betis,18
10,21/22,Osasuna,18
10,21/22,Barcelona,16
10,21/22,Athletic Club,16
10,21/22,Rayo Vallecano,16
10,21/22,Villarreal,14
10,21/22,Espanyol,13
10,21/22,Valencia,13
10,21/22,Mallorca,12
10,21/22,Celta Vigo,10
10,21/22,Elche,10
10,21/22,Granada,10
10,21/22,Cádiz,7
10,21/22,Alavés,6
10,21/22,Levante,5
10,21/22,Getafe,2
11,21/22,Real Madrid,24
11,21/22,Real Sociedad,24
11,21/22,Sevilla,22
11,21/22,Betis,21
11,21/22,Osasuna,19
11,21/22,Atlético Madrid,19
11,21/22,Rayo Vallecano,19
11,21/22,Athletic Club,17
11,21/22,Barcelona,16
11,21/22,Villarreal,15
11,21/22,Espanyol,14
11,21/22,Mallorca,13
11,21/22,Valencia,13
11,21/22,Granada,11
11,21/22,Celta Vigo,10
11,21/22,Elche,10
11,21/22,Alavés,9
11,21/22,Cádiz,8
11,21/22,Levante,6
11,21/22,Getafe,3
12,21/22,Real Madrid,27
12,21/22,Sevilla,25
12,21/22,Real Sociedad,25
12,21/22,Atlético Madrid,22
12,21/22,Betis,21
12,21/22,Rayo Vallecano,20
12,21/22,Osasuna,19
12,21/22,Athletic Club,18
12,21/22,Barcelona,17
12,21/22,Valencia,16
12,21/22,Villarreal,15
12,21/22,Granada,14
12,21/22,Espanyol,14
12,21/22,Mallorca,14
12,21/22,Celta Vigo,11
12,21/22,Alavés,10
12,21/22,Elche,10
12,21/22,Cádiz,9
12,21/22,Levante,6
12,21/22,Getafe,6
13,21/22,Real Madrid,30
13,21/22,Sevilla,28
13,21/22,Real Sociedad,28
13,21/22,Atlético Madrid,23
13,21/22,Betis,21
13,21/22,Rayo Vallecano,20
13,21/22,Osasuna,19
13,21/22,Barcelona,18
13,21/22,Villarreal,18
13,21/22,Athletic Club,18
13,21/22,Espanyol,17
13,21/22,Valencia,17
13,21/22,Mallorca,15
13,21/22,Granada,14
13,21/22,Alavés,13
13,21/22,Celta Vigo,12
13,21/22,Cádiz,12
13,21/22,Elche,11
13,21/22,Levante,6
13,21/22,Getafe,6
14,21/22,Real Madrid,33
14,21/22,Sevilla,29
14,21/22,Real Sociedad,29
14,21/22,Atlético Madrid,26
14,21/22,Betis,24
14,21/22,Rayo Vallecano,23
14,21/22,Barcelona,21
14,21/22,Villarreal,19
14,21/22,Athletic Club,19
14,21/22,Osasuna,19
14,21/22,Valencia,18
14,21/22,Espanyol,17
14,21/22,Mallorca,15
14,21/22,Alavés,14
14,21/22,Granada,14
14,21/22,Celta Vigo,13
14,21/22,Cádiz,12
14,21/22,Elche,11
14,21/22,Getafe,9
14,21/22,Levante,7
15,21/22,Real Madrid,36
15,21/22,Sevilla,29
15,21/22,Atlético Madrid,29
15,21/22,Real Sociedad,29
15,21/22,Betis,27
15,21/22,Barcelona,24
15,21/22,Rayo Vallecano,24
15,21/22,Espanyol,20
15,21/22,Athletic Club,20
15,21/22,Osasuna,20
15,21/22,Villarreal,19
15,21/22,Valencia,19
15,21/22,Celta Vigo,16
15,21/22,Mallorca,16
15,21/22,Granada,15
15,21/22,Alavés,14
15,21/22,Elche,12
15,21/22,Cádiz,12
15,21/22,Getafe,10
15,21/22,Levante,7
16,21/22,Real Madrid,39
16,21/22,Sevilla,32
16,21/22,Betis,30
16,21/22,Atlético Madrid,29
16,21/22,Real Sociedad,29
16,21/22,Rayo Vallecano,27
16,21/22,Barcelona,24
16,21/22,Valencia,22
16,21/22,Athletic Club,21
16,21/22,Osasuna,21
16,21/22,Espanyol,20
16,21/22,Villarreal,19
16,21/22,Mallorca,19
16,21/22,Granada,18
16,21/22,Celta Vigo,16
16,21/22,Elche,15
16,21/22,Alavés,14
16,21/22,Cádiz,12
16,21/22,Getafe,11
16,21/22,Levante,8
17,21/22,Real Madrid,42
17,21/22,Sevilla,35
17,21/22,Betis,33
17,21/22,Atlético Madrid,29
17,21/22,Real Sociedad,29
17,21/22,Rayo Vallecano,27
17,21/22,Valencia,25
17,21/22,Barcelona,25
17,21/22,Espanyol,23
17,21/22,Osasuna,22
17,21/22,Villarreal,22
17,21/22,Athletic Club,21
17,21/22,Mallorca,20
17,21/22,Granada,19
17,21/22,Celta Vigo,17
17,21/22,Alavés,15
17,21/22,Elche,15
17,21/22,Cádiz,13
17,21/22,Getafe,12
17,21/22,Levante,8
18,21/22,Real Madrid,43
18,21/22,Sevilla,38
18,21/22,Betis,33
18,21/22,Rayo Vallecano,30
18,21/22,Atlético Madrid,29
18,21/22,Real Sociedad,29
18,21/22,Valencia,28
18,21/22,Barcelona,28
